,text
123,"I got omicron right now, tested positive twice. It's absolutely nothing, just a mild cold and cough. Like any other viral infection."
124,"The symptoms are tiredness and fatigue. Damn, I've had omicron for the last 20 years. I thought it was called life but I guess there's a new name for it."
125,"How come nothing was closed down when tuberculosis hit an estimated 10 million incident cases and 1.5 million deaths occurred in 2018? Tuberculosis is transmitted in airborne particles called droplet nuclei that are expelled when persons with pulmonary or laryngeal TB cough, sneeze, shout, or sing. The tiny infectious particles can be carried by air currents throughout a room or building."
126,"Less than 1% of the worldwide population has died from Covid-19 and all its variants, with the majority over 65 with other health problems! So what exactly is going on? Especially with mask mandates to protect you from what? How about that coordinated looting going on it California! Nice right! Did you law abiding citizens get yours? How about illegals getting free homes, food, medical,and education! Did you get that, too? Extending mask mandates in all transit? They don’t protect you.  If the government says 3 shots don’t protect you, at $90 a pop by the way. Blundering biden continues media blind and deaf. I can’t wait for the omega virus! Quick everyone hide, also check out the dislike button counter"
127,"I got all symptoms but tests are negative with rapid kit. 
My lymph high 50.6% and Gran low 40.2.
Smell cigarettes when no one smoking around. Heavy ears irritated by sharp noise. Toe and finger tingling and burning sensation.  Lost hand and legs muscles but weight remain same. Hard stool. Dry itchy eyes. Sensitive gums. Numbness in hands. Discolored hand nail. Ankle joint pain."
128,"I was diagnosed with AIDS last year March with only 34 CD4  left with the viral load of 880k. I am so lucky I'm not having any other opportunistic infection such as pcp or any brain infection. Now, I've been undetectable with CD4 of 400+++ and living healthier. But of course when I'm not treated, I've developed skin rashes, facial , legs, arms dermatities , skin fungal infections on skins and nails, candidasis, recurring high fever, sore throat, weight loss, muscles ache, mouth ulsers, severe hair loss as well as severe dandrufts or mycoces (fungal infection on scalp) I dont have hepatitis or others STD such as gonnrhea , Syphllys. Get treated guys. It's treatable nowadays. We are living in 2023 not in 90's where the treatment is not really advance and some countries dont even have proper treatment. U can even married after reaching UVL without worrying of transmitting the virus to your partner or your babies. Its better to get hiv rather than cancer 🙄."
129,"Got positive for a week, experience cough , headache, sore throat & body weakness..then after 3 days my 3 kids got too ,10 days quarantine ,,Thanks god were ok now.."
130,"This is very informative and helping video, along with this I did BREATHING exercise, every 2-2 Hr., 3 sets of Breath in and Breath out slowly and after 1- or 2-minute pause, I did fast Breathing, breathing fast, breath out fast - 3 sets. 2 days when I did breathe exercise it cleared my nose, throat and chest from inside.

Regular breathing exercise will make raspatory system very strong. So, I have now made timetable of the day – that every morning between 10-11 am, in afternoon 1-2 pm, in evening 5-6 pm, around 3 times per day I am doing these breathing exercises.

Also, slow and fast breathing exercise provide enough oxygen to brain and help to function properly. I notice that my tiredness reduced, extra sleepiness reduce lot without any vitamin / energy tablet or protein / such juices / food. I make sure that every two hours just 5-7 time I slowly breath in thru one nose and breath out with second nose.

I also make sure that air I breath in is clear. Means ..For example : in day time under tree where people do not smoke is good quality oxygen!!

In herb, I use turmeric powder 1 spoon + carrom seed powder ½ spoon and drink with water in morning, or I use with turmeric milk or add into my curries. I learned to stay away from Sugar, 
tomatoes, catchup and fancy chips full of chemical spray. Especially when we have cold, cough – Chips, sugar, even Gatorade, oily foods are not good at all, it worsens case.

Best is Avocado, Carrot, Ginger, Onion (Not too much), Turmeric and Carrom seed and lettuce. For drink, warm look lemon water, homemade carrot juice (Carrot + water, no salt, no sugar – It cleans chest and kidney) are best.

Mix Black paper powder (about 1-2 teaspoon) + Ginger crushed (about 1-2 teaspoon) – mixed and boil in 1 cup water or milk (with trivia or stevia) and you can drink it. It will open throat.

When there is caught, we should avoid cold drinks, cold water, banana, tomatoes, fried food, chips, cookies, pizza lol!!

Sharing this because with these diets, I recovered so fast after covid and back to normal in 2 weeks!!
Wishing you good health to all."
131,"I am COVID Positive as I write this review. I started showing symptoms of COVID last Wednesday, and because I am a PSW and work in a LTC and was in Direct Contact with a Resident. I have 3 vaccines 💉 and I still contracted the virus. I have been sick for a whole week before my COVID Test came back Positive. My symptoms started manifesting as sore scratchy throat, runny nose, congestion, headache and tightness in my chest and extreme fatigue. As the week went on I got my symptoms and then realized I had no taste or smell and I was disoriented and confused and a bit dizzy and nauseous at times, but those last symptoms were the day I tested positive. The last few days have been rough, but I feel like I’m starting to get better. I pray that I am."
132,"Why is it everybody I know got better after covid. I had for say 2 weeks n half. It's been 2 months and recently it's been so bad. Chills, feverish symptoms. I feel cold weather colder than usual. Just today I we had some sun and while I was in the car I felt the sun rays so hot! How can I go outside with this hot weather nearing by. I lay down if it's a cold day I feel my arms cold. Drs can't explain what I have . One Dr did tests and my thyroid test showed a lil abnormal but he you need meds. He can't explain what I have an he says affects of covid you have weight it out. I'm tired if feeling like this. So depressed now"
133,"I got Omicron COVID and at 11/2 months later I am still having headaches & Upper back pain.. non stop everyday...now on Flonase, Tylenol 650 mg, and Doxycycline...I was Vaccinated X3..
Will see..🍀🤕"
134,"I woke up 3am vertigo and eye distortion Dec 1 ended up with tooth  pain went to ER. Said go to Eye Dr, ENT, oral surgeon.  Thevtooth was pulled last year but the dentist left in root and post which got  infected and had it removed. Then 3 weeks went by got Covid and hospitalized. Fever dry cough severe nauseous and dirrreah. Got so dehydrated and weak was released took 6 weeks to get well. Time to time I get brain fog. I am glad it's behind me. I pray for everyone 😇🙏"
135,"I got covid in Feb 22 , I'm 48 and asthmatic, it started with fever, and then high pulse, my veins bulged up which I never noticed before, and then day 2 a very bad sore throat and then day 4 I had episodes of shortness of breath, which is unlike an asthma attack, as it becomes harder to breathe I experienced seeing stars and would panic and run outside or into the kitchen,"
136,The mask will not keep you from getting the covid.it just keep you from coughing and sneezing on some one.and being put in the hospital makes it worse.will not take rhe vaccine.
137,Im STILL having symptoms after almost a month!  I've never taken so many vitamins or drank this much fluids.  The Headache is the worst.  Wish it would just go away!!
138,"I had Covid back in feb 2021 and it felt like a mere cold with cough. No other symptoms just that. My cold went away in 3 days but the cough was persistent for a month. Got Covid again 2 weeks ago and this time it was deadlier. Started out with body chills, fever, loss of appetite, loss of taste and lots of body aches. No cough until the 2nd week. The fever took about 4 days to break and everything about the 2nd Covid was a lot worst than the first. I also developed pneumonia and now I have ground glass opacities showing up in my lungs. My oxygen saturation was really low at 87-90. I tested negative for Covid on my 2nd week but I’m still having shortness of breathe and coughing. I’m worried about the ground glass which is pretty much scarring of the lungs. My oxygen saturation is around 97-99 now but it’s not a good indicator people can still have good Saturation if they were in a locked burning building. Also do not get on the investigation drug called Paxlovid from Pfizer I wasn’t sure if that thing worked but I was prescribed on it and it had a lot of nasty symptoms like I didn’t have awareness of my own body. I felt depressed and felt like I wasn’t myself. Especially when driving it felt like I had no control of anything even though I was."
139,I have very bad headache 🤕 they come and go. They are getting worst. One day lm good the need day l feeling if lm going to pass out.I have two shots and my flu shot I don’t know what’s
140,"""How Long Does The Covid-19 Virus Last Inside The Body?"" At this stage, who can really say?"
141,"I have lot of muscle pain and low fever
And today I'm going to take COVID-19🦠😷 test"
142,I dont have muscle pains but does body cramps come under it
143,Mujhe last 5days se backpain aur runny nose kya yeha covid k symptoms hai plz reply any one know
144,Someone please explains what he said because I have only muscle pain
145,"30 days ho gaya muscle pain bohat, abhi thek ho gaya hu covid se but thek nhi ho raha hai"
146,Sir ji pls humble request suggest I tested Delhi govt Only noise test antigen I think is it negative but I have muscle pain i am very feared and full day I m in tension and cry pls help ma bahut pareshan hu
147,"Yes sir aaj mera 25 day he last 15 days se muje muscles pain he mere ghutne ke niche Sujan he solders bhi pain karte he .... Age 29 he , bmi 26 he , meri smell capability chali gay thi wo aab vapas aa gayi he ,"
148,Sir meri left arm ke muscle mein pain h per continue nahi h ..per h ...mein subha excercise bhi karta hu dumble...plz reply
149,"Hello sir,
Sir can we take ivermectin as prophylaxis. Even less risk and no covid-19.. About ivermectin not clear guidelines from icmr or who."
